date,home_team,away_team,home_starter,away_starter,home_win_pct,away_win_pct,home_last10_win_pct,away_last10_win_pct,home_runs_pg,away_runs_pg,home_runs_allowed_pg,away_runs_allowed_pg,home_pitcher_era,away_pitcher_era,home_pitcher_whip,away_pitcher_whip,home_score,away_score,target
2025-03-18,Chicago Cubs,Los Angeles Dodgers,Shota Imanaga,Yoshinobu Yamamoto,0.5,0.5,0.5,0.5,4.5,4.5,4.5,4.5,3.15,2.82,0.93,1.05,1.0,4.0,0
2025-03-19,Chicago Cubs,Los Angeles Dodgers,Justin Steele,Roki Sasaki,0.0,1.0,0.0,1.0,1.0,4.0,4.0,1.0,4.76,4.72,1.15,1.49,3.0,6.0,0
2025-03-27,Arizona Diamondbacks,Chicago Cubs,Zac Gallen,Justin Steele,0.5,0.0,0.5,0.0,4.5,2.0,4.5,5.0,4.94,4.76,1.3,1.15,6.0,10.0,0
2025-03-27,Los Angeles Dodgers,Detroit Tigers,Blake Snell,Tarik Skubal,1.0,0.5,1.0,0.5,5.0,4.5,2.0,4.5,2.41,2.18,1.37,0.87,5.0,4.0,1
2025-03-27,St. Louis Cardinals,Minnesota Twins,Sonny Gray,Pablo López,0.5,0.5,0.5,0.5,4.5,4.5,4.5,4.5,4.43,2.82,1.22,1.07,5.0,3.0,1
2025-03-27,Miami Marlins,Pittsburgh Pirates,Sandy Alcantara,Paul Skenes,0.5,0.5,0.5,0.5,4.5,4.5,4.5,4.5,5.66,2.05,1.32,0.95,5.0,4.0,1
2025-03-27,Chicago White Sox,Los Angeles Angels,Sean Burke,Yusei Kikuchi,0.5,0.5,0.5,0.5,4.5,4.5,4.5,4.5,4.28,3.83,1.44,1.44,8.0,1.0,1
2025-03-27,San Diego Padres,Atlanta Braves,Michael King,Chris Sale,0.5,0.5,0.5,0.5,4.5,4.5,4.5,4.5,2.81,2.45,1.09,1.13,7.0,4.0,1
2025-03-27,Seattle Mariners,Athletics,Logan Gilbert,Luis Severino,0.5,0.5,0.5,0.5,4.5,4.5,4.5,4.5,3.73,4.65,1.02,1.32,4.0,2.0,1
2025-03-27,Houston Astros,New York Mets,Framber Valdez,Clay Holmes,0.5,0.5,0.5,0.5,4.5,4.5,4.5,4.5,3.4,3.6,1.2,1.31,3.0,1.0,1
2025-03-27,Kansas City Royals,Cleveland Guardians,Cole Ragans,Ben Lively,0.5,0.5,0.5,0.5,4.5,4.5,4.5,4.5,5.18,3.22,1.29,1.19,4.0,7.0,0
2025-03-27,Washington Nationals,Philadelphia Phillies,MacKenzie Gore,Zack Wheeler,0.5,0.5,0.5,0.5,4.5,4.5,4.5,4.5,4.15,2.71,1.34,0.94,3.0,7.0,0
2025-03-27,Texas Rangers,Boston Red Sox,Nathan Eovaldi,Garrett Crochet,0.5,0.5,0.5,0.5,4.5,4.5,4.5,4.5,1.73,2.67,0.85,1.08,2.0,5.0,0
2025-03-27,Toronto Blue Jays,Baltimore Orioles,José Berríos,Zach Eflin,0.5,0.5,0.5,0.5,4.5,4.5,4.5,4.5,4.02,5.93,1.29,1.42,2.0,12.0,0
2025-03-27,New York Yankees,Milwaukee Brewers,Carlos Rodón,Freddy Peralta,0.5,0.5,0.5,0.5,4.5,4.5,4.5,4.5,3.18,2.58,1.08,1.07,4.0,2.0,1
2025-03-27,Cincinnati Reds,San Francisco Giants,Hunter Greene,Logan Webb,0.5,0.5,0.5,0.5,4.5,4.5,4.5,4.5,2.7,3.17,0.97,1.23,4.0,6.0,0
2025-03-28,Los Angeles Dodgers,Detroit Tigers,Yoshinobu Yamamoto,Jack Flaherty,1.0,0.0,1.0,0.0,5.0,4.0,2.6666666666666665,5.0,2.82,4.74,1.05,1.29,8.0,5.0,1
2025-03-28,San Diego Padres,Atlanta Braves,Dylan Cease,Reynaldo López,1.0,0.0,1.0,0.0,7.0,4.0,4.0,7.0,4.81,5.4,1.34,2.2,4.0,3.0,1
2025-03-28,Seattle Mariners,Athletics,Luis Castillo,Jeffrey Springs,1.0,0.0,1.0,0.0,4.0,2.0,2.0,4.0,3.94,4.17,1.29,1.19,0.0,7.0,0
2025-03-28,Arizona Diamondbacks,Chicago Cubs,Merrill Kelly,Jameson Taillon,0.0,0.3333333333333333,0.0,0.3333333333333333,6.0,4.666666666666667,10.0,5.333333333333333,3.24,4.15,1.05,1.08,8.0,1.0,1
2025-03-28,Houston Astros,New York Mets,Hunter Brown,Tylor Megill,1.0,0.0,1.0,0.0,3.0,1.0,1.0,3.0,2.34,3.95,1.01,1.36,1.0,3.0,0
2025-03-28,Miami Marlins,Pittsburgh Pirates,Connor Gillispie,Mitch Keller,1.0,0.0,1.0,0.0,5.0,4.0,4.0,5.0,8.65,4.21,1.65,1.28,3.0,4.0,0
2025-03-28,Toronto Blue Jays,Baltimore Orioles,Kevin Gausman,Charlie Morton,0.0,1.0,0.0,1.0,2.0,12.0,12.0,2.0,3.75,5.51,1.05,1.51,8.0,2.0,1
2025-03-28,Tampa Bay Rays,Colorado Rockies,Ryan Pepiot,Kyle Freeland,0.5,0.5,0.5,0.5,4.5,4.5,4.5,4.5,3.7,5.41,1.15,1.52,3.0,2.0,1
2025-03-28,Texas Rangers,Boston Red Sox,Jack Leiter,Tanner Houck,0.0,1.0,0.0,1.0,2.0,5.0,5.0,2.0,3.77,8.04,1.31,1.69,4.0,1.0,1
2025-03-29,Miami Marlins,Pittsburgh Pirates,Valente Bellozo,Bailey Falter,0.5,0.5,0.5,0.5,4.0,4.0,4.0,4.0,3.91,4.45,1.26,1.28,5.0,4.0,1
2025-03-29,Seattle Mariners,Athletics,Bryce Miller,Osvaldo Bido,0.5,0.5,0.5,0.5,2.0,4.5,4.5,2.0,5.71,5.73,1.41,1.57,2.0,4.0,0
2025-03-29,Los Angeles Dodgers,Detroit Tigers,Roki Sasaki,Reese Olson,1.0,0.0,1.0,0.0,5.75,4.5,3.25,6.5,4.72,3.15,1.49,1.21,7.0,3.0,1
2025-03-29,Arizona Diamondbacks,Chicago Cubs,Brandon Pfaadt,Shota Imanaga,0.5,0.25,0.5,0.25,7.0,3.75,5.5,6.0,5.33,3.15,1.39,0.93,3.0,4.0,0
2025-03-29,Houston Astros,New York Mets,Spencer Arrighetti,Griffin Canning,0.5,0.5,0.5,0.5,2.0,2.0,2.0,2.0,5.35,3.77,1.42,1.38,2.0,1.0,1
2025-03-29,Texas Rangers,Boston Red Sox,Tyler Mahle,Walker Buehler,0.5,0.5,0.5,0.5,3.0,3.0,3.0,3.0,2.34,5.45,1.13,1.56,4.0,3.0,1
2025-03-29,Tampa Bay Rays,Colorado Rockies,Zack Littell,Antonio Senzatela,1.0,0.0,1.0,0.0,3.0,2.0,2.0,3.0,3.63,6.92,1.12,1.86,1.0,2.0,0
2025-03-29,San Diego Padres,Atlanta Braves,Randy Vásquez,Spencer Schwellenbach,1.0,0.0,1.0,0.0,5.5,3.5,3.5,5.5,3.96,3.09,1.38,0.97,1.0,0.0,1
2025-03-29,Kansas City Royals,Cleveland Guardians,Seth Lugo,Gavin Williams,0.0,1.0,0.0,1.0,4.0,7.0,7.0,4.0,4.15,3.26,1.29,1.29,4.0,3.0,1
2025-03-29,Washington Nationals,Philadelphia Phillies,Jake Irvin,Jesús Luzardo,0.0,1.0,0.0,1.0,3.0,7.0,7.0,3.0,5.42,4.05,1.41,1.28,6.0,11.0,0
2025-03-29,Toronto Blue Jays,Baltimore Orioles,Max Scherzer,Dean Kremer,0.5,0.5,0.5,0.5,5.0,7.0,7.0,5.0,4.11,4.52,1.13,1.27,5.0,9.0,0
2025-03-29,Cincinnati Reds,San Francisco Giants,Nick Lodolo,Justin Verlander,0.0,1.0,0.0,1.0,4.0,6.0,6.0,4.0,3.22,4.29,1.04,1.43,3.0,2.0,1
2025-03-29,St. Louis Cardinals,Minnesota Twins,Erick Fedde,Joe Ryan,1.0,0.0,1.0,0.0,5.0,3.0,3.0,5.0,5.71,3.08,1.58,0.97,5.0,1.0,1
2025-03-29,Chicago White Sox,Los Angeles Angels,Jonathan Cannon,José Soriano,1.0,0.0,1.0,0.0,8.0,1.0,1.0,8.0,5.34,3.68,1.46,1.33,0.0,1.0,0
2025-03-29,New York Yankees,Milwaukee Brewers,Max Fried,Nestor Cortes,1.0,0.0,1.0,0.0,4.0,2.0,2.0,4.0,2.98,5.06,1.11,1.44,20.0,9.0,1
2025-03-30,Seattle Mariners,Athletics,Bryan Woo,JP Sears,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,2.0,4.333333333333333,4.333333333333333,2.0,3.02,5.01,0.97,1.3,2.0,1.0,1
2025-03-30,Arizona Diamondbacks,Chicago Cubs,Eduardo Rodriguez,Matthew Boyd,0.3333333333333333,0.4,0.3333333333333333,0.4,5.666666666666667,3.8,5.0,5.4,0.0,2.94,0.6,1.07,10.0,6.0,1
2025-03-30,Texas Rangers,Boston Red Sox,Jacob deGrom,Richard Fitts,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,3.3333333333333335,3.0,3.0,3.3333333333333335,2.69,5.0,0.92,1.31,3.0,2.0,1
2025-03-30,St. Louis Cardinals,Minnesota Twins,Andre Pallante,Bailey Ober,1.0,0.0,1.0,0.0,5.0,2.0,2.0,5.0,5.38,5.23,1.44,1.35,9.0,2.0,1
2025-03-30,Chicago White Sox,Los Angeles Angels,Davis Martin,Jack Kochanowicz,0.5,0.5,0.5,0.5,4.0,1.0,1.0,4.0,4.06,6.81,1.3,1.75,2.0,3.0,0
2025-03-30,Kansas City Royals,Cleveland Guardians,Michael Wacha,Tanner Bibee,0.5,0.5,0.5,0.5,4.0,5.0,5.0,4.0,3.52,4.77,1.19,1.31,2.0,6.0,0
2025-03-30,San Diego Padres,Atlanta Braves,Nick Pivetta,AJ Smith-Shawver,1.0,0.0,1.0,0.0,4.0,2.3333333333333335,2.3333333333333335,4.0,2.84,3.86,0.94,1.42,5.0,0.0,1
2025-03-30,Tampa Bay Rays,Colorado Rockies,Taj Bradley,Ryan Feltner,0.5,0.5,0.5,0.5,2.0,2.0,2.0,2.0,4.82,4.75,1.29,1.48,6.0,4.0,1
2025-03-30,Cincinnati Reds,San Francisco Giants,Nick Martinez,Robbie Ray,0.5,0.5,0.5,0.5,3.5,4.0,4.0,3.5,4.69,3.18,1.22,1.16,3.0,6.0,0
2025-03-30,Toronto Blue Jays,Baltimore Orioles,Chris Bassitt,Tomoyuki Sugano,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,5.0,7.666666666666667,7.666666666666667,5.0,4.1,4.41,1.33,1.32,3.0,1.0,1
2025-03-30,New York Yankees,Milwaukee Brewers,Marcus Stroman,Aaron Civale,1.0,0.0,1.0,0.0,12.0,5.5,5.5,12.0,6.23,5.09,1.54,1.34,12.0,3.0,1
2025-03-30,Washington Nationals,Philadelphia Phillies,Mitchell Parker,Aaron Nola,0.0,1.0,0.0,1.0,4.5,9.0,9.0,4.5,5.94,6.47,1.47,1.5,5.0,1.0,1
2025-03-30,Miami Marlins,Pittsburgh Pirates,Max Meyer,Andrew Heaney,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,4.333333333333333,4.0,4.0,4.333333333333333,4.73,5.39,1.42,1.36,3.0,2.0,1
2025-03-31,Los Angeles Dodgers,Atlanta Braves,Tyler Glasnow,Grant Holmes,1.0,0.0,1.0,0.0,6.0,1.75,3.2,4.25,3.41,3.99,1.11,1.34,6.0,1.0,1
2025-03-31,Athletics,Chicago Cubs,Joey Estes,Ben Brown,0.5,0.3333333333333333,0.5,0.3333333333333333,3.5,4.166666666666667,2.0,6.166666666666667,9.82,5.88,2.0,1.44,3.0,18.0,0
2025-03-31,Seattle Mariners,Detroit Tigers,Emerson Hancock,Jackson Jobe,0.5,0.0,0.5,0.0,2.0,4.0,3.5,6.666666666666667,5.51,4.22,1.46,1.49,6.0,9.0,0
2025-03-31,San Diego Padres,Cleveland Guardians,Kyle Hart,Luis L. Ortiz,1.0,0.6666666666666666,1.0,0.6666666666666666,4.25,5.333333333333333,1.75,3.3333333333333335,5.71,4.36,1.18,1.38,7.0,2.0,1
2025-03-31,Houston Astros,San Francisco Giants,Ronel Blanco,Jordan Hicks,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,2.0,4.666666666666667,1.6666666666666667,3.3333333333333335,4.1,6.45,1.18,1.61,2.0,7.0,0
2025-03-31,St. Louis Cardinals,Los Angeles Angels,Miles Mikolas,Tyler Anderson,1.0,0.6666666666666666,1.0,0.6666666666666666,6.333333333333333,1.6666666666666667,2.0,3.3333333333333335,4.89,4.56,1.33,1.41,4.0,5.0,0
2025-03-31,Toronto Blue Jays,Washington Nationals,Bowden Francis,Michael Soroka,0.5,0.3333333333333333,0.5,0.3333333333333333,4.5,4.666666666666667,6.0,6.333333333333333,6.05,4.86,1.53,1.13,5.0,2.0,1
2025-03-31,Tampa Bay Rays,Pittsburgh Pirates,Drew Rasmussen,Carmen Mlodzinski,0.6666666666666666,0.25,0.6666666666666666,0.25,3.3333333333333335,3.5,2.6666666666666665,4.0,2.74,3.87,0.97,1.33,6.0,1.0,1
2025-03-31,Cincinnati Reds,Texas Rangers,Brady Singer,Kumar Rocker,0.3333333333333333,0.75,0.3333333333333333,0.75,3.3333333333333335,3.25,4.666666666666667,2.75,4.08,5.74,1.26,1.46,14.0,3.0,1
2025-03-31,Philadelphia Phillies,Colorado Rockies,Cristopher Sánchez,Germán Márquez,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,6.333333333333333,2.6666666666666665,4.666666666666667,3.3333333333333335,2.66,6.14,1.12,1.69,6.0,1.0,1
2025-03-31,Baltimore Orioles,Boston Red Sox,Cade Povich,Sean Newcomb,0.5,0.25,0.5,0.25,6.0,2.75,4.5,3.25,5.04,2.9,1.43,1.4,8.0,5.0,1
2025-03-31,Milwaukee Brewers,Kansas City Royals,Elvin Rodriguez,Kris Bubic,0.0,0.3333333333333333,0.0,0.3333333333333333,4.666666666666667,3.3333333333333335,12.0,5.333333333333333,9.15,2.55,1.68,1.18,1.0,11.0,0
